date,open,high,low,close,volume
2021-04-27 09:15:00+05:30,32228.95,32442.9,32158.8,32207.4,0
2021-04-27 09:30:00+05:30,32202.35,32308.85,32177.95,32290.55,0
2021-04-27 09:45:00+05:30,32294.1,32365.25,32258.35,32322.45,0
2021-04-27 10:00:00+05:30,32322.6,32382.6,32315.6,32353.65,0
2021-04-27 10:15:00+05:30,32352.25,32377.2,32300.55,32372.15,0
2021-04-27 10:30:00+05:30,32370.0,32448.9,32350.35,32448.9,0
2021-04-27 10:45:00+05:30,32450.35,32516.75,32415.1,32514.55,0
2021-04-27 11:00:00+05:30,32510.15,32541.85,32481.1,32517.15,0
2021-04-27 11:15:00+05:30,32520.3,32525.9,32456.5,32500.5,0
2021-04-27 11:30:00+05:30,32503.3,32530.9,32455.1,32509.8,0
2021-04-27 11:45:00+05:30,32508.25,32604.75,32498.0,32599.9,0
2021-04-27 12:00:00+05:30,32595.3,32642.45,32594.3,32625.65,0
2021-04-27 12:15:00+05:30,32626.1,32649.85,32546.2,32572.15,0
2021-04-27 12:30:00+05:30,32573.85,32612.15,32542.85,32588.2,0
2021-04-27 12:45:00+05:30,32584.9,32623.7,32547.6,32561.55,0
2021-04-27 13:00:00+05:30,32560.6,32596.4,32551.75,32564.3,0
2021-04-27 13:15:00+05:30,32565.3,32607.3,32530.95,32559.55,0
2021-04-27 13:30:00+05:30,32556.4,32585.35,32545.4,32568.05,0
2021-04-27 13:45:00+05:30,32567.65,32655.15,32566.3,32640.95,0
2021-04-27 14:00:00+05:30,32640.3,32712.6,32629.65,32688.5,0
2021-04-27 14:15:00+05:30,32689.65,32715.95,32658.05,32715.95,0
2021-04-27 14:30:00+05:30,32712.15,32752.95,32696.25,32718.0,0
2021-04-27 14:45:00+05:30,32721.35,32728.35,32664.25,32669.25,0
2021-04-27 15:00:00+05:30,32670.0,32748.65,32654.25,32748.65,0
2021-04-27 15:15:00+05:30,32749.45,32801.2,32738.25,32760.25,0
2021-04-28 09:15:00+05:30,32865.5,33050.3,32854.95,33049.75,0
2021-04-28 09:30:00+05:30,33053.8,33080.8,32995.3,33049.5,0
2021-04-28 09:45:00+05:30,33051.65,33143.45,33041.65,33069.95,0
2021-04-28 10:00:00+05:30,33067.55,33103.5,33046.0,33071.35,0
2021-04-28 10:15:00+05:30,33070.35,33095.4,32964.75,32981.4,0
2021-04-28 10:30:00+05:30,32980.95,33059.85,32970.5,33058.15,0
2021-04-28 10:45:00+05:30,33059.1,33109.25,33056.7,33070.45,0
2021-04-28 11:00:00+05:30,33069.35,33124.4,33049.7,33094.05,0
2021-04-28 11:15:00+05:30,33092.1,33135.25,33067.85,33106.75,0
2021-04-28 11:30:00+05:30,33111.15,33121.6,33084.8,33107.3,0
2021-04-28 11:45:00+05:30,33107.3,33169.45,33101.1,33165.8,0
2021-04-28 12:00:00+05:30,33174.25,33217.1,33165.35,33210.6,0
2021-04-28 12:15:00+05:30,33211.95,33291.75,33181.5,33287.6,0
2021-04-28 12:30:00+05:30,33287.85,33351.0,33257.3,33344.0,0
2021-04-28 12:45:00+05:30,33345.75,33502.8,33345.05,33484.75,0
2021-04-28 13:00:00+05:30,33485.5,33536.2,33412.85,33528.15,0
2021-04-28 13:15:00+05:30,33533.6,33560.15,33469.4,33510.45,0
2021-04-28 13:30:00+05:30,33509.2,33531.05,33488.05,33510.15,0
2021-04-28 13:45:00+05:30,33511.1,33660.35,33469.3,33655.3,0
2021-04-28 14:00:00+05:30,33652.25,33667.0,33594.7,33667.0,0
2021-04-28 14:15:00+05:30,33666.75,33698.1,33640.85,33665.2,0
2021-04-28 14:30:00+05:30,33671.7,33734.25,33633.1,33703.9,0
2021-04-28 14:45:00+05:30,33707.35,33766.35,33689.0,33748.6,0
2021-04-28 15:00:00+05:30,33743.25,33775.05,33725.7,33747.1,0
2021-04-28 15:15:00+05:30,33746.95,33753.75,33638.55,33662.65,0
2021-04-29 09:15:00+05:30,33901.6,34284.85,33901.6,34185.3,0
2021-04-29 09:30:00+05:30,34183.4,34247.05,34092.1,34092.1,0
2021-04-29 09:45:00+05:30,34092.65,34135.7,33480.25,33611.5,0
2021-04-29 10:00:00+05:30,33614.15,33809.2,33459.25,33655.7,0
2021-04-29 10:15:00+05:30,33655.75,33728.3,33538.2,33655.9,0
